motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M1980-1.02,CG11085,0.0,0.0,0.0,0.0
M5190-1.02,Side,0.0,0.0,0.0,0.0
M1988-1.02,CG32532,0.0,0.0,0.0,0.0
M1995-1.02,Dfd,0.0,0.0,0.0,0.0
M2005-1.02,NK7.1,0.0,0.0,0.0,0.0
M5173-1.02,Bgb,0.0,0.0,0.0,0.0
M2007-1.02,OdsH,0.0,0.0,0.0,0.0
M2018-1.02,ap,0.0,0.0,0.0,0.0
M2043-1.02,onecut,0.0,0.0,0.0,0.0
M2024-1.02,btn,0.0,0.0,0.0,0.0
M2029-1.02,en,0.0,0.0,0.0,0.0
M5137-1.02,otp,0.0,0.0,0.0,0.0
M2034-1.02,hbn,0.0,0.0,0.0,0.0
M2038-1.02,lab,0.0,0.0,0.0,0.0
M5109-1.02,mirr,0.0,0.0,0.0,0.0
M5108-1.02,bigmax,0.0,0.0,0.0,0.0
M2059-1.02,vis,0.0,0.0,0.0,0.0
