motif_id,motif_name,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M4739-1.02,aop,-0.008047578,0.008047578,0.069474965,0.10003213
M4672-1.02,E2f,-0.008038239,0.008038239,0.030114142,0.036243115
M4843-1.02,CG32105,-0.0077421847,0.0077421847,0.048723415,0.055194367
M2327-1.02,STAT92E,0.0077420776,0.0077420776,0.035001494,0.060209457
M1918-1.02,Ubx,0.0076447353,0.0076447353,0.017706016,0.02169484
M4802-1.02,CG10904,0.007589583,0.007589583,0.16255762,0.20176108
M5167-1.02,rib,0.007512175,0.007512175,0.03518293,0.047740612
M5003-1.02,her,0.00749247,0.00749247,0.037981372,0.04636305
M6459-1.02,(RunxA)_(Homo_sapiens)_(DBD_0.73),0.007486582,0.007486582,0.028218215,0.036262136
M4912-1.02,Dip3,-0.0074271434,0.0074271434,0.043519624,0.05749154
M4895-1.02,crc,-0.007407039,0.007407039,0.080378495,0.11388217
M5203-1.02,sob,-0.0073653087,0.0073653087,0.02578764,0.031895436
M5157-1.02,pnt,-0.0073400275,0.0073400275,0.0138075985,0.025539575
M1977-1.02,B-H1,0.0072859894,0.0072859894,0.025845805,0.03441166
M4901-1.02,D19A,-0.0072210017,0.0072210017,0.03703527,0.045068562
M2031-1.02,exd,0.00720532,0.00720532,0.03622832,0.052215796
M5217-1.02,ss,-0.0071342983,0.0071342983,0.026525332,0.034436423
M6238-1.02,(CG11152)_(Homo_sapiens)_(DBD_0.50),0.007036768,0.007036768,0.03425111,0.04511979
M5104-1.02,Met,-0.0067042224,0.0067042224,0.023801396,0.033068635
M4973-1.02,foxo,-0.006644976,0.006644976,0.08323217,0.106659345
M5704-1.02,(prd)_(Homo_sapiens)_(DBD_0.77),0.0066065583,0.0066065583,0.07835003,0.09016917
M5029-1.02,h,0.0065677357,0.0065677357,0.02922767,0.039492868
M6166-1.02,(CG6905)_(Homo_sapiens)_(DBD_0.97),0.006537906,0.006537906,0.03162167,0.04093739
M5009-1.02,hkb,0.0065310826,0.0065310826,0.019458475,0.024165777
M5142-1.02,pad,-0.006528881,0.006528881,0.068483464,0.078874946
M4847-1.02,CG32830,-0.006393428,0.006393428,0.033710226,0.047348693
M5194-1.02,slbo,0.0063384594,0.0063384594,0.015655883,0.019833341
M1103-1.02,Vsx2,-0.0062802066,0.0062802066,0.014135375,0.01902107
M5079-1.02,lmd,0.0062328577,0.0062328577,0.02906119,0.04625375
M1471-1.02,tll,-0.0061875093,0.0061875093,0.123711176,0.1529748
M4870-1.02,CG5669,-0.006147205,0.006147205,0.07422709,0.08046514
M5101-1.02,Mnt,-0.0061280634,0.0061280634,0.016892906,0.026336739
M1089-1.02,bsh,0.0060934904,0.0060934904,0.035688236,0.04241273
M4951-1.02,Ets65A,-0.006016938,0.006016938,0.013332875,0.019456463
M0967-1.02,(CG34367)_(Mus_musculus)_(DBD_0.96),-0.006006512,0.006006512,0.10867279,0.124503896
M4952-1.02,Ets96B,-0.006006088,0.006006088,0.027520292,0.034879982
M4724-1.02,ac,-0.0058848313,0.0058848313,0.013638778,0.0193323
M4982-1.02,GATAd,-0.0057592215,0.0057592215,0.099326745,0.11680219
M4808-1.02,CG11504,0.005733505,0.005733505,0.08833169,0.09892838
M4948-1.02,esg,-0.005551771,0.005551771,0.0593484,0.086593896
M1628-1.02,(org-1)_(Mus_musculus)_(DBD_0.70),0.0055231904,0.0055231904,0.16277061,0.19958498
M4867-1.02,CG4854,0.0053583323,0.0053583323,0.054845843,0.08022745
M1105-1.02,FBpp0292044,-0.005338212,0.005338212,0.12901944,0.17177671
M5227-1.02,tap,0.0052446057,0.0052446057,0.17686622,0.22596538
M4819-1.02,CG12768,-0.005190477,0.005190477,0.018401345,0.025404437
M6394-1.02,(Hr38)_(Homo_sapiens)_(DBD_0.90),-0.0050637997,0.0050637997,0.06441302,0.09334064
M5208-1.02,Sox15,-0.004900623,0.004900623,0.17399229,0.20118217
M4898-1.02,crol,0.004878972,0.004878972,0.017042166,0.025143528
M5006-1.02,Hey,0.0048639053,0.0048639053,0.05805395,0.070708305
M0302-1.02,(A3-3)_(Mus_musculus)_(DBD_0.56),0.004790104,0.004790104,0.119906574,0.14770125
M5224-1.02,tai,-0.0047615888,0.0047615888,0.01459942,0.01752713
M4817-1.02,CG12605,-0.0046987045,0.0046987045,0.053708266,0.066458
M4954-1.02,Ets98B,-0.0045984914,0.0045984914,0.06315803,0.08482569
M5180-1.02,Scr,0.0045722066,0.0045722066,0.070397235,0.082719006
M1858-1.02,Eip74EF,-0.0045037633,0.0045037633,0.029281963,0.046691213
M5011-1.02,HLH4C,0.004466162,0.004466162,0.09154716,0.15571827
M1094-1.02,zen2,-0.0044188257,0.0044188257,0.029681228,0.04173735
M1519-1.02,(NFAT)_(Gallus_gallus)_(DBD_0.58),-0.004398932,0.004398932,0.017571772,0.03719818
M4918-1.02,FBgn0262656,0.0043826248,0.0043826248,0.0103875175,0.013085124
M4669-1.02,FBgn0262975,-0.0043442543,0.0043442543,0.09256679,0.1331693
M4826-1.02,CG15601,0.00422661,0.00422661,0.10579156,0.14160357
M4720-1.02,abd-A,-0.0042248927,0.0042248927,0.017820483,0.020079814
M5660-1.02,(NfI)_(Homo_sapiens)_(DBD_0.80),-0.004196266,0.004196266,0.059956323,0.074533805
M2249-1.02,D,-0.0041669817,0.0041669817,0.022868657,0.03516391
M5019-1.02,HLHm3,-0.0041596713,0.0041596713,0.02943124,0.033433646
M4882-1.02,CG8281,0.004142934,0.004142934,0.01657204,0.019130696
M1091-1.02,eve,-0.0039802906,0.0039802906,0.012042753,0.018221755
M5219-1.02,sug,0.003892924,0.003892924,0.02111406,0.030149162
M4765-1.02,bin,-0.003418142,0.003418142,0.031133603,0.04703319
M5147-1.02,peb,-0.003313602,0.003313602,0.019342592,0.028783642
M5179-1.02,sc,0.0032750573,0.0032750573,0.031000258,0.037544
M4977-1.02,ftz,-0.0031532857,0.0031532857,0.013161645,0.020610454
M4985-1.02,gl,-0.0030191983,0.0030191983,0.1776261,0.2235045
M5050-1.02,Jra,-0.002992807,0.002992807,0.02634622,0.03774486
M5113-1.02,nau,-0.0029770196,0.0029770196,0.028609203,0.035322636
M5244-1.02,tj,-0.0029508444,0.0029508444,0.04091939,0.05460362
M1992-1.02,CG7056,-0.0029114669,0.0029114669,0.058199655,0.068876974
M4811-1.02,FBgn0263239,0.0028860832,0.0028860832,0.03824521,0.054291446
M5283-1.02,z,-0.002874024,0.002874024,0.073709205,0.089329526
M5234-1.02,sim,-0.002872251,0.002872251,0.053137343,0.064520955
M1469-1.02,Hr46,0.0028229551,0.0028229551,0.02650709,0.03496384
M5272-1.02,vri,0.0027994066,0.0027994066,0.026901128,0.035889216
M1960-1.02,(Sox21a)_(Mus_musculus)_(DBD_0.93),-0.002723639,0.002723639,0.08612232,0.11134775
M4922-1.02,dpn,0.0026482416,0.0026482416,0.028739363,0.04774163
M5196-1.02,slou,0.0025053394,0.0025053394,0.057726607,0.07718255
M1890-1.02,(Nf-YA)_(Homo_sapiens)_(DBD_0.84),0.0024798703,0.0024798703,0.07469236,0.09206174
M5182-1.02,scrt,0.0024751073,0.0024751073,0.03673377,0.043662105
M5116-1.02,net,0.0024749467,0.0024749467,0.051342897,0.07083862
M4929-1.02,tgo,0.0024443392,0.0024443392,0.04318577,0.05067483
M4674-1.02,pnr,-0.0023976807,0.0023976807,0.0563156,0.071950175
M4886-1.02,CG9437,0.0022585683,0.0022585683,0.013370827,0.023296865
M4876-1.02,CG7368,0.0022379446,0.0022379446,0.014787658,0.023120746
M5164-1.02,repo,0.0022186823,0.0022186823,0.014974418,0.020361485
M4767-1.02,Blimp-1,0.0022057225,0.0022057225,0.017191175,0.022842634
M1854-1.02,dl,-0.0021877931,0.0021877931,0.016606286,0.024295356
M4902-1.02,D19B,-0.002182193,0.002182193,0.09461942,0.120710574
M4814-1.02,CG12236,0.002173586,0.002173586,0.110397786,0.12212668
M4748-1.02,Atf6,0.0021529382,0.0021529382,0.007434663,0.012384053
M4937-1.02,Eip75B,0.002126671,0.002126671,0.015755184,0.02407532
M1088-1.02,Dll,0.0020853148,0.0020853148,0.014419016,0.020136151
M6237-1.02,(fd59A)_(Homo_sapiens)_(DBD_0.89),0.0020669051,0.0020669051,0.08734612,0.10603852
M5119-1.02,oc,-0.0020501958,0.0020501958,0.05065704,0.057819296
M0740-1.02,slp1,0.0019839958,0.0019839958,0.019746583,0.03506604
M4829-1.02,FBgn0263240,0.0019705286,0.0019705286,0.0133366315,0.017935833
M1097-1.02,Awh,-0.0019093904,0.0019093904,0.012662728,0.018547157
M4878-1.02,CG7386,0.0019032744,0.0019032744,0.03304632,0.04043401
M2027-1.02,ct,-0.0018855005,0.0018855005,0.019410115,0.027586155
M4830-1.02,FBgn0262477,0.001878879,0.001878879,0.017916886,0.022466768
M4750-1.02,ato,0.0018506332,0.0018506332,0.05639745,0.06736537
M2060-1.02,FBgn0261930,-0.0017909573,0.0017909573,0.087478355,0.10590354
M2040-1.02,lbl,0.0017443931,0.0017443931,0.011682296,0.014602916
M5043-1.02,ind,0.0017074839,0.0017074839,0.036474675,0.05088832
M4728-1.02,Adf1,0.001685915,0.001685915,0.20541227,0.24322425
M1913-1.02,sna,-0.0016705161,0.0016705161,0.010865381,0.015058689
M2006-1.02,nub,-0.0016703864,0.0016703864,0.0076083583,0.008513854
M4997-1.02,hb,0.0016638149,0.0016638149,0.09677109,0.11180275
M4788-1.02,C15,-0.001558271,0.001558271,0.0076979357,0.012043695
M1912-1.02,Su(H),0.0015291749,0.0015291749,0.07030266,0.08794916
M0111-1.02,retn,0.0015202892,0.0015202892,0.030987987,0.044492137
M5097-1.02,luna,0.0014745265,0.0014745265,0.03501498,0.04910238
M4921-1.02,Doc2,0.0014735017,0.0014735017,0.05338063,0.06276194
M1993-1.02,CG9876,-0.0014726396,0.0014726396,0.17479135,0.1993669
M4880-1.02,CG7928,-0.0014725372,0.0014725372,0.0060139867,0.00887668
M4983-1.02,GATAe,-0.001422707,0.001422707,0.0059474087,0.0077206222
M4879-1.02,CG7745,-0.0013976423,0.0013976423,0.011928219,0.015369372
M4722-1.02,ab,-0.0013725501,0.0013725501,0.04197975,0.050568696
M4969-1.02,Fer2,0.0013699303,0.0013699303,0.012107394,0.02388333
M4897-1.02,CrebA,0.0012792244,0.0012792244,0.010546155,0.01514524
M4865-1.02,CG4360,-0.0012189923,0.0012189923,0.015501558,0.022885505
M5018-1.02,HLH54F,-0.0012125468,0.0012125468,0.034854088,0.043296453
M4757-1.02,bab1,-0.001206135,0.001206135,0.021327412,0.030036395
M5174-1.02,Rx,0.0012002264,0.0012002264,0.016045375,0.020050365
M5187-1.02,sens,0.001194189,0.001194189,0.046249237,0.06370324
M4899-1.02,crp,0.0011671445,0.0011671445,0.026769144,0.039146926
M2037-1.02,inv,-0.0011512379,0.0011512379,0.030828178,0.034614317
M2263-1.02,ttk,-0.0011440779,0.0011440779,0.045347203,0.059363395
M4904-1.02,Deaf1,0.0011156593,0.0011156593,0.012343927,0.015695302
M4927-1.02,dsx,0.0010582801,0.0010582801,0.04026538,0.052804455
M4892-1.02,ci,0.0010115493,0.0010115493,0.05223868,0.066781715
M0817-1.02,gcm2,-0.0009751612,0.0009751612,0.020782508,0.022729399
M1106-1.02,CG42234,-0.00097223005,0.00097223005,0.020834375,0.03923379
M1100-1.02,Optix,-0.0009338507,0.0009338507,0.17978889,0.22208084
M1837-1.02,(lz)_(Mus_musculus)_(DBD_0.71),-0.0008763364,0.0008763364,0.11447498,0.12363107
M1631-1.02,(H15)_(Mus_musculus)_(DBD_0.69),0.00081783097,0.00081783097,0.063520126,0.107768044
M5025-1.02,HLHmgamma,0.0007886999,0.0007886999,0.006788664,0.0146248005
